h,s,v
112.0,141.0,148.0
108.0,134.0,147.0
109.0,137.0,149.0
108.0,141.0,148.0
109.0,139.0,147.0
109.0,131.0,144.0
107.0,124.0,140.0
108.0,125.0,143.0
108.0,120.0,145.0
109.0,109.0,145.0
108.0,112.0,146.0
109.0,118.0,149.0
110.0,143.0,150.0
111.0,141.0,148.0
110.0,147.0,144.0
109.0,155.0,140.0
109.0,162.0,137.0
107.0,162.0,135.0
109.0,160.0,132.0
109.0,168.0,132.0
109.0,168.0,129.0
111.0,168.0,126.0
111.0,171.0,124.0
112.0,170.0,123.0
112.0,166.0,121.0
111.0,158.0,118.0
111.0,165.0,116.0
108.0,164.0,115.0
109.0,166.0,114.0
108.0,162.0,112.0
110.0,159.0,111.0
111.0,156.0,111.0
111.0,162.0,112.0
110.0,151.0,155.0
110.0,148.0,150.0
109.0,152.0,146.0
110.0,152.0,141.0
109.0,151.0,137.0
109.0,151.0,135.0
109.0,153.0,133.0
109.0,149.0,130.0
108.0,155.0,127.0
109.0,159.0,122.0
109.0,166.0,123.0
109.0,171.0,124.0
110.0,171.0,124.0
111.0,162.0,118.0
109.0,164.0,115.0
108.0,163.0,116.0
108.0,164.0,115.0
109.0,157.0,112.0
109.0,159.0,111.0
109.0,157.0,112.0
109.0,156.0,113.0
110.0,151.0,155.0
110.0,147.0,151.0
109.0,149.0,149.0
110.0,150.0,143.0
109.0,150.0,138.0
109.0,150.0,136.0
109.0,152.0,134.0
109.0,147.0,132.0
108.0,150.0,131.0
109.0,151.0,128.0
109.0,161.0,127.0
109.0,169.0,125.0
110.0,168.0,126.0
111.0,158.0,121.0
109.0,161.0,117.0
108.0,161.0,117.0
108.0,163.0,116.0
109.0,156.0,113.0
109.0,159.0,111.0
109.0,160.0,110.0
109.0,160.0,110.0
110.0,151.0,166.0
108.0,153.0,160.0
109.0,149.0,151.0
109.0,149.0,145.0
110.0,144.0,140.0
110.0,142.0,138.0
110.0,142.0,135.0
110.0,138.0,133.0
108.0,142.0,131.0
108.0,149.0,132.0
110.0,155.0,128.0
108.0,161.0,127.0
111.0,161.0,127.0
110.0,162.0,123.0
108.0,156.0,116.0
108.0,160.0,118.0
109.0,161.0,117.0
109.0,161.0,117.0
109.0,156.0,116.0
109.0,154.0,114.0
109.0,152.0,111.0
110.0,149.0,168.0
108.0,153.0,160.0
109.0,149.0,151.0
109.0,146.0,148.0
110.0,140.0,144.0
110.0,137.0,143.0
110.0,136.0,141.0
110.0,133.0,138.0
108.0,138.0,135.0
108.0,149.0,132.0
110.0,153.0,130.0
108.0,159.0,128.0
111.0,161.0,127.0
110.0,163.0,122.0
108.0,153.0,118.0
108.0,160.0,118.0
109.0,160.0,118.0
109.0,160.0,118.0
109.0,155.0,117.0
109.0,154.0,114.0
109.0,150.0,112.0
110.0,154.0,176.0
110.0,155.0,164.0
109.0,148.0,152.0
109.0,148.0,150.0
108.0,143.0,146.0
110.0,137.0,145.0
110.0,138.0,144.0
110.0,137.0,145.0
110.0,141.0,141.0
109.0,144.0,135.0
109.0,148.0,131.0
110.0,148.0,129.0
110.0,152.0,126.0
112.0,148.0,119.0
110.0,157.0,122.0
108.0,165.0,124.0
109.0,162.0,120.0
108.0,164.0,120.0
111.0,156.0,119.0
111.0,149.0,115.0
110.0,150.0,117.0
110.0,153.0,177.0
110.0,155.0,165.0
109.0,147.0,153.0
109.0,146.0,152.0
108.0,139.0,150.0
110.0,134.0,148.0
110.0,135.0,147.0
110.0,137.0,145.0
110.0,140.0,142.0
109.0,141.0,137.0
109.0,146.0,133.0
110.0,147.0,130.0
110.0,147.0,130.0
112.0,140.0,126.0
110.0,155.0,123.0
108.0,167.0,122.0
109.0,160.0,121.0
108.0,165.0,119.0
111.0,158.0,118.0
111.0,146.0,117.0
110.0,150.0,117.0
109.0,151.0,172.0
109.0,157.0,164.0
111.0,155.0,163.0
109.0,157.0,161.0
109.0,157.0,158.0
109.0,158.0,157.0
111.0,149.0,154.0
112.0,141.0,148.0
110.0,142.0,145.0
110.0,143.0,141.0
110.0,145.0,137.0
110.0,147.0,135.0
110.0,151.0,133.0
110.0,153.0,130.0
110.0,154.0,124.0
109.0,156.0,124.0
110.0,162.0,123.0
109.0,163.0,119.0
111.0,156.0,116.0
110.0,150.0,117.0
110.0,147.0,113.0
109.0,153.0,170.0
109.0,157.0,164.0
111.0,161.0,157.0
109.0,163.0,155.0
109.0,161.0,154.0
109.0,163.0,152.0
111.0,152.0,151.0
112.0,142.0,147.0
110.0,142.0,145.0
110.0,143.0,141.0
110.0,143.0,139.0
110.0,146.0,136.0
110.0,150.0,134.0
110.0,153.0,130.0
110.0,153.0,125.0
109.0,156.0,124.0
110.0,162.0,123.0
109.0,162.0,120.0
111.0,155.0,117.0
110.0,153.0,115.0
110.0,147.0,113.0
108.0,151.0,162.0
108.0,166.0,163.0
110.0,164.0,160.0
110.0,159.0,156.0
109.0,159.0,151.0
109.0,159.0,151.0
110.0,153.0,152.0
109.0,148.0,150.0
108.0,143.0,146.0
108.0,147.0,146.0
110.0,147.0,146.0
110.0,148.0,140.0
110.0,151.0,137.0
110.0,150.0,131.0
109.0,146.0,124.0
110.0,148.0,124.0
108.0,155.0,123.0
107.0,166.0,121.0
111.0,161.0,119.0
111.0,155.0,115.0
110.0,148.0,110.0
108.0,152.0,161.0
108.0,169.0,160.0
110.0,165.0,159.0
110.0,160.0,155.0
109.0,159.0,151.0
109.0,158.0,152.0
110.0,152.0,153.0
109.0,149.0,149.0
108.0,143.0,146.0
108.0,146.0,147.0
110.0,146.0,147.0
110.0,144.0,143.0
110.0,149.0,139.0
110.0,149.0,132.0
109.0,143.0,127.0
110.0,148.0,124.0
108.0,154.0,124.0
107.0,165.0,122.0
111.0,159.0,120.0
111.0,155.0,115.0
110.0,144.0,113.0
107.0,146.0,157.0
107.0,163.0,153.0
109.0,167.0,156.0
108.0,165.0,151.0
107.0,154.0,146.0
109.0,148.0,150.0
109.0,153.0,152.0
109.0,150.0,150.0
109.0,149.0,149.0
109.0,148.0,150.0
109.0,149.0,149.0
109.0,148.0,146.0
110.0,145.0,139.0
111.0,144.0,133.0
111.0,141.0,128.0
111.0,143.0,125.0
110.0,149.0,123.0
108.0,155.0,123.0
109.0,159.0,119.0
110.0,160.0,115.0
109.0,156.0,116.0
107.0,147.0,156.0
107.0,160.0,156.0
109.0,166.0,157.0
108.0,165.0,151.0
107.0,154.0,146.0
109.0,149.0,149.0
109.0,152.0,153.0
109.0,149.0,151.0
109.0,148.0,150.0
109.0,148.0,150.0
109.0,148.0,150.0
109.0,148.0,146.0
110.0,142.0,142.0
111.0,138.0,139.0
111.0,134.0,135.0
111.0,138.0,129.0
110.0,146.0,126.0
108.0,154.0,124.0
109.0,155.0,122.0
110.0,154.0,119.0
109.0,156.0,116.0
107.0,140.0,153.0
107.0,149.0,157.0
108.0,156.0,154.0
110.0,155.0,143.0
110.0,153.0,148.0
110.0,147.0,151.0
109.0,152.0,154.0
110.0,152.0,149.0
109.0,152.0,154.0
109.0,152.0,153.0
110.0,149.0,152.0
110.0,145.0,148.0
110.0,146.0,145.0
109.0,149.0,145.0
110.0,148.0,143.0
109.0,151.0,137.0
110.0,148.0,129.0
110.0,151.0,127.0
108.0,154.0,124.0
108.0,157.0,122.0
110.0,154.0,119.0
107.0,141.0,152.0
107.0,151.0,155.0
108.0,152.0,158.0
110.0,144.0,154.0
110.0,149.0,152.0
110.0,144.0,154.0
109.0,150.0,156.0
110.0,146.0,155.0
109.0,151.0,155.0
109.0,151.0,154.0
110.0,149.0,152.0
110.0,143.0,150.0
110.0,143.0,148.0
109.0,147.0,147.0
110.0,145.0,146.0
109.0,149.0,139.0
110.0,145.0,132.0
110.0,148.0,129.0
108.0,152.0,126.0
108.0,155.0,123.0
110.0,152.0,121.0
108.0,135.0,151.0
109.0,144.0,154.0
109.0,149.0,157.0
107.0,152.0,158.0
108.0,150.0,158.0
109.0,148.0,160.0
108.0,149.0,154.0
109.0,153.0,157.0
108.0,156.0,157.0
108.0,156.0,157.0
110.0,155.0,155.0
111.0,147.0,154.0
110.0,151.0,154.0
109.0,149.0,151.0
109.0,150.0,148.0
110.0,148.0,143.0
110.0,150.0,138.0
110.0,150.0,133.0
110.0,152.0,131.0
110.0,153.0,128.0
108.0,155.0,123.0
108.0,134.0,152.0
109.0,143.0,155.0
109.0,148.0,158.0
107.0,151.0,159.0
108.0,147.0,161.0
109.0,149.0,159.0
108.0,146.0,157.0
109.0,152.0,158.0
108.0,155.0,158.0
108.0,156.0,157.0
110.0,155.0,155.0
111.0,148.0,153.0
110.0,153.0,152.0
109.0,150.0,150.0
109.0,149.0,149.0
110.0,147.0,144.0
110.0,149.0,139.0
110.0,147.0,135.0
110.0,152.0,131.0
110.0,153.0,128.0
108.0,155.0,123.0
106.0,127.0,147.0
108.0,139.0,154.0
110.0,141.0,161.0
109.0,140.0,160.0
109.0,140.0,159.0
109.0,134.0,152.0
108.0,142.0,151.0
108.0,154.0,156.0
109.0,160.0,161.0
108.0,162.0,159.0
108.0,158.0,152.0
108.0,160.0,153.0
110.0,159.0,156.0
110.0,147.0,151.0
109.0,146.0,148.0
110.0,144.0,147.0
110.0,149.0,144.0
110.0,152.0,141.0
110.0,154.0,137.0
110.0,153.0,132.0
110.0,158.0,126.0
106.0,122.0,153.0
108.0,136.0,158.0
110.0,141.0,161.0
109.0,140.0,160.0
109.0,140.0,159.0
109.0,131.0,156.0
108.0,138.0,155.0
108.0,155.0,155.0
109.0,164.0,157.0
108.0,166.0,155.0
108.0,159.0,151.0
108.0,162.0,151.0
110.0,162.0,153.0
110.0,147.0,151.0
109.0,144.0,151.0
110.0,141.0,150.0
110.0,145.0,148.0
110.0,148.0,145.0
110.0,151.0,140.0
110.0,149.0,135.0
110.0,155.0,128.0
